Família;Produtos;Descrição;Qtd Varejo Reg/Nac;VENDAS EM SP;Participação SP no Varejo
AC;AC382;BASE COOLER PARA NOTEBOOK COM 2 VENTILADORES E 9 NIVEIS DE ALTURA   ;47;0;0,0%
PC;UB840;"ALL IN ONE UB840 i3 8145U 4GB SSD 120GB Windows 11 Home 23.8""   ";47;0;0,0%
SO;SP803;MICROFONE - PULSE PRO 3 MIC COM FIO   ;47;6;12,8%
TE;NK043;;47;47;100,0%
BR;BR2528;HOT WHEELS MONSTER TRUCK THUNDER 1:24 LUZ E SOM   ;46;36;78,3%
BR;BR2530;HOT WHEELS MONSTER TRUCK TITAN 1:24 LUZ E SOM   ;46;36;78,3%
AC;PH503;HEADSET BLUETOOTH COM BATERIA RECARREGÁVEL VIA CABO USB-C COM CONTROLE EMBUTIDO ACABAMENTO REFORÇADO E HASTE E MICROFONE AJUSTÁVEIS   ;46;12;26,1%
SO;PH378;HEADPHONE MULTILASER KIDS HAPPY   ;46;31;67,4%
DC;DJI072;Drone DJI Neo 2 Fly More Motion Combo (DJI Motion 3 & DJI Goggles N3) BR   ;46;4;8,7%
AC;RF018;REFIL DE TINTA COMPAT. UNIVERSAL P/ EPSON HP CANON 100ML CIANO   ;45;0;0,0%
BR;BR2484;Jogo Doutor Slime   ;45;20;44,4%
BR;BR2209;BONECA TODDLER FROZEN 38CM - ANNA   ;44;36;81,8%
EP;EB101;MAQUINA DE ACABAMENTO MULTI CARE   ;44;0;0,0%
BR;BR2010;FLATBALL FUTEBOL DE MESA   ;44;0;0,0%
DC;DJI069;Drone DJI Neo 2 (Sem controle) BR   ;44;9;20,5%
BR;BR2444;1:16 HOT WHEELS RC TURBO - VERMELHO   ;43;37;86,0%
SO;SP619;PULSE XPLODE 4 BT/AUX/USB/Sd IPX5 MARCA PULSE MODELO XPLODE 4   ;43;4;9,3%
BR;BR2133;MESA PROJETORA PRINCESAS DISNEY   ;43;43;100,0%
BR;BR1472;MY STYLE - FÁBRICA DE PULSEIRAS DE ELÁSTICO - CLÁSSICO   ;43;3;7,0%
AC;RZ0104650100;Mouse Razer Cobra Preto - Com fio   ;43;0;0,0%
BR;BR2086;HOT WHEELS CARRO RODA LIVRE SPEED CAR COM LUZ E SOM 2 MOD. SORTIDOS   ;42;12;28,6%
BR;BR2533;1:24 Hot Wheels Rc Monster Truck Turbo Crasher   ;42;41;97,6%
SO;SP507;PULSE TORRE DOUBLE 10 POL. 1800W RMS BT   ;42;5;11,9%
SO;SP513;PULSEBOX 2 DOUBLE 6.5 700W RMS BT/AUX/USB/SD/TWS/MIC   ;41;4;9,8%
EP;CE152;FOGAO ELETRICO EASY COOK 127V   ;41;24;58,5%
AC;CB176;CARREGADOR PORTÁTIL (POWER BANK ) COM DISPLAY LCD 20.000MAH E CARREGAMENTO RÁPIDO   ;41;0;0,0%
AC;GS0515;;41;0;0,0%
BR;BR2511;Blocos Magneticos Mineblocks 38 Blocos - Display 8 Pcs 2 Mod. Sortidos   ;40;0;0,0%
HC;HC267;;40;0;0,0%
PR;PR201063;;40;0;0,0%
BB;BB291;CADEIRA DE DESCANSO NAP TIME ROSA   ;39;5;12,8%
AC;AWE69US;;39;39;100,0%
EP;EB131;MODELADOR DE CACHOS WAVES 25MM   ;39;0;0,0%
AC;WI269;CABO VGA X HDMI C ADAPT MINI HDMI FULL HD 1.5M   ;38;24;63,2%
EP;GO036;CAFETEIRA ELÉTRICA 15 XICARAS 220V | 650W DE POTÊNCIA | FUNÇÃO MANTER AQUECIDO | CAPACIDADE DE 650ML | FACILIDADE NO PREPARO | INDICADOR DE ÁGUA | SISTEMA CORTA-PINGO | MULTI HOME   ;38;0;0,0%
EP;GO227;AIR FRYER FORNO 12L 127V   ;38;4;10,5%
TE;NK093;;38;38;100,0%
HC;HC353;BOLSA DE GEL TÉRMICA - AZUL   ;38;0;0,0%
BR;BR2529;HOT WHEELS MONSTER TRUCK ROCKET 1:24 LUZ E SOM   ;37;37;100,0%
EP;HO472;VAPORIZADOR TURBO PORTÁTIL 127V 1400W COM SAÍDA EM ACABAMENTO DE ALUMÍNIO, SISTEMA ANTI-GOTEJAMENTO E VAPOR CONTÍNUO   ;37;6;16,2%
AC;WI273;CABO USB 2.0 TIPO A X TIPO B PARA IMPRESSORA 3M   ;37;0;0,0%
AC;RZ0104910100;;37;0;0,0%
BR;BR2417;1:24 RACING CONTROL DRIFT X - VERMELHO E PRETO   ;37;0;0,0%
BR;BR2418;1:24 RACING CONTROL DRIFT X - BRANCO E VERDE   ;37;0;0,0%
AC;OF010;FRAGMENTADORA DE PAPEL E CARTAO 6 FOLHAS EM TIRAS 10L 220V   ;36;2;5,6%
BR;BR2436;PELÚCIA GARFIELD CORAÇÃO 35CM   ;36;12;33,3%
BR;BR1508;PELÚCIA MICKEY C/ MECANISMO LUZ E SOM 40CM   ;36;36;100,0%
BR;BR1587;Mochila de Atividades Mickey Com Acessórios   ;36;24;66,7%
BR;BR2197;PELÚCIA MICKEY FANTASIA C/ MECANISMO LUZ E SOM 40CM   ;36;36;100,0%
AC;RF016;Refil De Tinta Para Impressoras Epson T664 250ML Amarelo - RF016   ;36;0;0,0%
AC;RF015;Refil De Tinta Para Impressoras Epson T664 250ML Magenta - RF015   ;36;0;0,0%
AC;OF018;FRAGMENTADORA DE PAPEL E CARTÃO 10 FOLHAS EM PARTÍCULAS 15L 220V   ;36;24;66,7%
BR;BR1182;CREATIVE FUN CAIXA REGISTRADORA MINI SHOPPING ROSA   ;36;0;0,0%
AC;WI362;CABO DE AUDIO EXTENSOR P2 3.5MM   ;36;0;0,0%
NB;NB440;TABLET PATRULHA CANINA M8 WIFI 4/64GB OCTA CORE   ;36;0;0,0%
BR;BR2523;Pelúcias Bob Esponja e Amigos - Display 12 Pcs Modelos Sortidos 15cm   ;36;0;0,0%
AC;WI409;ADAPTADOR DE AUDIO P2 PARA P3 3.5MM   ;36;20;55,6%
AC;EI154;Bloco Adesivo Pet Transparente Degrade 75x75mm 50 Folhas Keep   ;36;0;0,0%
BR;BR2459;TURBO CHAMPS DESAFIO 1X1 FUTEBOL - 3 MOD. SORTIDOS   ;36;0;0,0%
BR;BR2416;1:24 RACING CONTROL DRIFT X - AZUL   ;36;0;0,0%
EP;EB130;PRANCHA MODELADORA EFEITO SEREIA   ;35;0;0,0%
TE;P9128;;35;0;0,0%
AC;AC350;TELA DE PROJECAO RETRATIL ELETRICA 203 X 152CM 127V   ;35;0;0,0%
TE;NK095;;35;35;100,0%
EP;EB117;ESCOVA SECADORA 1350W BIVOLT AZUL   ;34;0;0,0%
AC;TC284;TECLADO SEM FIO TS400 BLUETOOTH COMPACTO COM SLOT SILENCIOSO PT   ;34;30;88,2%
BR;BR2326;GO PLAY - ARCO E FLECHA COM LUZ E SOM   ;33;24;72,7%
AC;WI451;CABO USBC LIGHTNING MFI   ;33;0;0,0%
AC;AC351;TELA DE PROJECAO RETRATIL 1,80X1,80   ;33;0;0,0%
DC;DJI070;Drone DJI Neo 2 Fly More Combo (Sem controle) BR   ;32;4;12,5%
SO;SP515;PULSE CAIXA DE SOM PULSE TORRE DOUBLE 15 POL. 3.500W RMS   ;32;4;12,5%
SO;SP626;PULSE X BOOMBOX SP626 220W   ;32;0;0,0%
HC;HC081;;32;0;0,0%
AC;WI341;CABO CONCEPT PARA ANDROID MICRO USB PRETO 1.5M   ;32;0;0,0%
EP;GO081;PANELA DE PRESSAO ELETRICA 4L INOX 127V   ;32;32;100,0%
BR;BR2200;PELÚCIA STITCH PEEK A BOO C/ MECANISMO 30CM   ;31;0;0,0%
DC;DJI212;Câmera de Ação DJI Osmo Action 5 Pro Standard Combo BR   ;31;20;64,5%
TE;P9130;;31;31;100,0%
AC;AC354;TELA DE PROJECAO 1,80X1,80 TRIPE   ;30;0;0,0%
EF;LQ903;LIQUIDIFICADOR MULTI TURBO LQ900 900W 5 VELOCIDADES 2,6 LITROS 127V 60HZ VERMELHO   ;30;6;20,0%
BR;BR1183;CAIXA REGISTRADORA MINNIE   ;30;3;10,0%
BR;BR2455;PELÚCIA INTERATIVA PIXEL HUGS - REXEL (PRETO)   ;30;0;0,0%
PG;PC914;;30;0;0,0%
PR;PR10125;;30;0;0,0%
AC;OF019;;30;2;6,7%
DC;DJI218;Câmera de Ação DJI Osmo Action 6 Adventure BR   ;29;0;0,0%
DC;DJI139;Estabilizador DJI Osmo Mobile 8 BR   ;29;0;0,0%
SO;PH437;EARPHONE BLUETOOTH TWS PULSE WB300 BRANCO   ;29;13;44,8%
BR;BR2103;PELÚCIA BOB ESPONJA 30CM   ;29;27;93,1%
AC;TSB89004;MOCHILA CITY TARGUS PARA NOTEBOOKS 15.6 POLEGADAS 2 COMPARTIMENTOS PRINCIPAIS 1 COMPARTIMENTO PARA ACESSÓRIOS 2 COMPARTIMENTOS PARA GARRAFA PRETO POLIESTER   ;28;0;0,0%
AC;AC343;MESA PORT. MADEIRA MULTIUSO IDEAL P/ NOTEBOOK DE ATE 15.6POL   ;27;20;74,1%
BR;BR1766;PLAY & LEARN - MESA 2 EM 1 COM BANQUINHO E LOUSA   ;27;2;7,4%
NB;NB417;TABLET AVENGERS 64 GB   ;27;-3;-11,1%
SO;SP614;PULSE BAZOOKA BEATS 80W RMS BT/AUX/SD/USB LED   ;27;27;100,0%
BR;BR2105;PELÚCIA BOB ESPONJA - LULA MOLUSCO 30CM   ;27;3;11,1%
BR;BR1094;CUBIC BOMBEIRO RESGATE 12 EM 1 557 PCS   ;26;24;92,3%
BR;BR2334;JOGO DA FORCA   ;26;11;42,3%
BR;BR2138;1:16 RACING CONTROL LUZES DE CORRIDA - BRANCO E AZUL   ;26;0;0,0%
BR;BR2492;Kit De Jogos De Mesa 5 Em 1   ;26;2;7,7%
BB;BB445;;26;0;0,0%
BR;BR2445;1:16 HOT WHEELS RC TURBO - PRETO   ;25;23;92,0%
BR;BR1096;CUBIC EXERCITO PATRIOT 12 EM 1 555 PCS   ;25;24;96,0%
BR;BR1200;CUBIC BOMBEIRO BRIGADA DE INCENDIO 12 EM 1 558PCS   ;25;24;96,0%
NB;NB389;TABLET M10 4G 4+128GB OCTA CORE 2.0GHZ   ;25;0;0,0%
TE;P9154;;25;24;96,0%
TE;P9076;;25;1;4,0%
IC;SS108BU;;25;0;0,0%
BR;BR2514;Pelúcia Bob Esponja - Sandy Bochechas   ;24;24;100,0%
VT;TB035M;TV TOSHIBA 55POL 4K QLED 55C450NS GOOGLE   ;24;9;37,5%
AC;EN082;NOBREAK MULTI 720VA BIVOLT/127V - M1 720VA   ;24;0;0,0%
AC;GA211;CADEIRA DE ESCRITORIO RELAX PRETA   ;24;0;0,0%
AC;WI348;CONVERSOR ADAPTADOR USB 3.0 PARA VGA FULL HD   ;24;0;0,0%
NB;NB439;TABLET MINNIE M8 WIFI 4/64GB OCTA CORE   ;24;0;0,0%
NB;2022;;24;0;0,0%
HC;HC396;SERINGA NASAL INFANTIL - FISHER PRICE - LEAO   ;24;0;0,0%
BR;BR2509;My Style Pulseira Unitária Display de 12 Unidades - 4 Modelos Sortidos   ;24;0;0,0%
BR;BR2522;Pelúcia Bob Esponja - Patrick 45Cm   ;24;0;0,0%
BR;BR2137;RACING CONTROL LUZES DE CORRIDA VERMELHO   ;24;0;0,0%
AC;WI210;CABO USB 3.0 1.8M   ;23;0;0,0%
BR;BR2232;;23;23;100,0%
AC;JS090;VOLANTE WARRIOR ARTAXES MULTI PLATAFORMA   ;23;20;87,0%
NB;NB385;TABLET M8 (4G/32GB) AC + PRETO   ;23;23;100,0%
EP;GO208;;23;0;0,0%
EF;LQ1203;;23;0;0,0%
AC;BO439;Mochila Multilaser Elegance Para Notebook Ate 15.6 Pol Preta - BO439   ;22;0;0,0%
EP;GO083;PANELA DE PRESSAO ELETRICA 5L INOX 127V   ;22;6;27,3%
EP;GO106;;22;0;0,0%
BR;BR1744;;22;22;100,0%
BR;BR1600;;22;22;100,0%
BR;BR2394;CRY BABIES LOVING CARE DREAMY - SEM MECANISMO ELÉTRICO   ;21;16;76,2%
BR;BR2471;1:24 RC HOT WHEELS RED STORM - 4 CANAIS - VERMELHO   ;21;2;9,5%
BR;BR2265;CHAIN BREAKERX DRAGON ZINDER VERMELHO   ;21;0;0,0%
AC;WI291;CABO DE AUDIO OPTICO TOSLINK 1.8M   ;21;4;19,0%
AC;EN085;NOBREAK MULTI 1000VA BIVOLT/127V - M1 1000VA   ;21;0;0,0%
AC;WI046;CONVERSOR USB PARA PS2   ;21;3;14,3%
PC;PC135L;;21;21;100,0%
EP;HO054;LIXADEIRA ORBITAL 240W 127V   ;21;18;85,7%
RE;RE089;;21;0;0,0%
EF;LQ701;LIQUIDIFICADOR MULTI TURBO LQ700 700W 3 VELOCIDADES 2,3 LITROS 127V 60HZ PRETO   ;20;4;20,0%
AC;EI140;Pasta Envelope A4 Fecho Botao Azul Keep - EI140   ;20;0;0,0%
SO;WR206;SMARTWATCH MULTI M2R AMOLED PRETO   ;20;16;80,0%
SO;PH418;;20;20;100,0%
AC;TBB582;;20;20;100,0%
BR;BR1746;;20;20;100,0%
VD;TL066MQ;;20;0;0,0%
DC;DJI306;;20;0;0,0%
DC;DJI050;;20;0;0,0%
PR;PR103223;;20;0;0,0%
PR;PR103214;;20;0;0,0%
PR;PR201055;;20;0;0,0%
PR;PR201077;;20;0;0,0%
PR;PR103252;;20;0;0,0%
PR;PR103208;;20;0;0,0%
PR;PR103244;;20;0;0,0%
PC;UB440;;20;0;0,0%
BR;BR2324;GO PLAY - SACO DE BOXE INFANTIL COM SUPORTE, LUVAS E BOMBA   ;19;18;94,7%
BR;BR2072;JOGO MINI FUTEBOL   ;19;2;10,5%
BB;BB034;COPO TÉRMICO COM CANUDO DE SILICONE COOL AZUL 24M+   ;19;0;0,0%
AC;OF007;;19;19;100,0%
ME;PD041;;19;0;0,0%
HC;HC290;UMIDIFICADOR MULTI SAUDE EASY AIR 1.8L   ;19;0;0,0%
BR;BR2465;;19;0;0,0%
AC;RF001;REFIL DE TINTA PRETO HP 100ML   ;18;0;0,0%
SO;TAG01;RASTREADOR BLUETOOTH MULTI MTAG - BRANCO   ;18;3;16,7%
AC;BO443;MOCHILA MULTILASER MIDTOWN 15.6 POL PRETO   ;18;1;5,6%
AC;AC446;;18;0;0,0%
AC;OF008;;18;18;100,0%
BR;BR2468;;18;4;22,2%
NB;NB425;TABLET M10 WIFI 6/128GB KID PAD LARANJA   ;18;0;0,0%
TE;NK071;;18;18;100,0%
BR;BR1588;Mochila de Atividades Minnie Com Acessórios   ;18;0;0,0%
AC;RF003;REFIL DE TINTA MAGENTA EPSON 100ML   ;17;17;100,0%
BR;BR1215;PLAY & LEARN - LOUSA MAGICA 2 EM 1 MALETA   ;17;13;76,5%
AC;AC438;TELA DE PROJEÇÃO RETRÁTIL 2,44X1,83M 120 POLEGADAS 4:3   ;17;0;0,0%
SO;PH377;;17;13;76,5%
AC;RZ0203330300R3U;;17;10;58,8%
BR;BR1745;;17;17;100,0%
EP;GO203;Air Fryer 4L Vermelha 127V 1500W C Grade   ;17;16;94,1%
DC;DJI065;Drone DJI Mini 5 Pro Standard (Sem tela) BR   ;17;16;94,1%
BR;BR1474;;17;17;100,0%
BR;BR2446;1:16 HOT WHEELS RC LUZES DE CORRIDA - VERMELHO   ;16;16;100,0%
BR;BR1093;CUBIC 12 EM 1 CITY 573 PCS   ;16;12;75,0%
BR;BR2512;Blocos Magneticos Mineblocks 64 Blocos - Window Box   ;16;0;0,0%
DC;DJI126;Microfone DJI Mic Mini (2 TX Microfone + 1 RX Receptor + 1 Case de carregamento) BR   ;16;0;0,0%
EP;GO084;PANELA DE PRESSAO ELETRICA 5L INOX 220V   ;16;0;0,0%
BR;BR2074;JOGO MINI SINUCA   ;16;0;0,0%
AC;CT12A;CARTUCHO TONER HP 2612A PRETO   ;16;0;0,0%
EP;HO241;PLAINA ELETRICA 650W 127V   ;16;0;0,0%
BR;BR2107;PELÚCIA BOB ESPONJA - GARY CARACOL 25CM   ;16;15;93,8%
AC;GA225;;16;16;100,0%
BR;BR2297;CAIXA REGISTRADORA PRINCESAS   ;16;0;0,0%
AC;EI043;;16;0;0,0%
BR;BR2013;JOGO FUTEBOL PINBALL   ;16;4;25,0%
BB;BB321;EXTRATOR DE LEITE MANUAL FISHER-PRICE   ;16;0;0,0%
BR;BR1617;CUBIC 25 EM 1 STEEL ROBOT 575 PEÇAS   ;15;12;80,0%
SO;SP509;PULSE STORM 8 POL. 1000W RMS BT   ;15;0;0,0%
AC;RF024;FITA PARA ROTULADOR BROTHER TZE-131 PRETO SOBRE TRANSPARENTE 12MM   ;15;20;133,3%
PG;PC912ES;MULTILASER M11C-PC912 CHROMEBOOK CLAMSHELL   ;15;0;0,0%
AC;GS0069;BALUN 1 CANAL 4K AVULSO PARA GS0068 - M3 BA 4K   ;15;0;0,0%
SO;PH332;;15;0;0,0%
ME;MC155;4X1: ADAPT USB DUAL DRIVE/OTG TIPO C+ADAPT SD+CARTAO MEMORIA UHS3 C10 512GB   ;15;0;0,0%
AC;TSB968;MOCHILA INTELLECT ADVANCED TARGUS PARA NOTEBOOKS 15.6 POLEGADAS 1 COMPARTIMENTO PRINCIPAL 1 COMPARTIMENTO ACOLCHOADO P NOTEBOOKS 1 COMPARTIMENTO FRONTAL P ACESSÓRIOS 2 BOLSOS RÁPIDO ACESSO POLIESTER   ;15;10;66,7%
BR;BR1095;CUBIC 12 EM 1 POLICIA 572 PCS   ;14;12;85,7%
EP;EB136;ESCOVA EFEITO AFRODITE LISO E ONDAS - ESCOVA ALISADORA 2 EM 1   ;14;0;0,0%
AC;EN081;NOBREAK MULTI 720VA 220V/220V - M1 720VA   ;14;0;0,0%
DC;DJI1027;Hélices (DJI Air 3/DJI Air 3S) (1 Par) BR   ;14;0;0,0%
AC;GA228;CADEIRA GAMER WARRIOR SENSE ELITE BRANCA - GA228   ;14;3;21,4%
VD;55UF8G;TV 55 POLEGADAS 4K GOOGLE TV MULTI   ;14;2;14,3%
HC;HC398;SERINGA NASAL MULTI COM 2 UNIDADES   ;14;0;0,0%
EP;EB167;;14;0;0,0%
DC;DJI207;Câmera de Ação DJI Osmo Action 4 Standard Combo BR   ;14;0;0,0%
BR;BR2253;;14;0;0,0%
BB;BB298;;13;6;46,2%
AC;MO421;Mouse Warrior Magnus 10000DPI Tri Mode com base carregadora - Preto   ;13;3;23,1%
AC;MO422;Mouse Warrior Magnus 10000DPI Tri Mode com base carregadora - Branco   ;13;3;23,1%
BR;BR2210;BONECA TODDLER FROZEN 38CM - ELSA   ;13;12;92,3%
BR;BR2073;JOGO MINI AIR HOCKEY   ;13;1;7,7%
SO;PH439;EARPHONE BLUETOOTH TWS PULSE WF400 PRETO   ;13;0;0,0%
TE;P9183;;13;10;76,9%
DC;DJI1004;Bateria de voo inteligente DJI Mini 3/DJI Mini 3 Pro/DJI Mini 4 Pro   ;13;6;46,2%
SO;PH323;;13;0;0,0%
ME;PD771;;13;0;0,0%
BR;BR1214;PLAY & LEARN - LOUSA MAGICA 2 EM 1 STUDIO   ;12;6;50,0%
BR;BR2017;BONECA TODDLER PRINCESAS 38CM - BRANCA DE NEVE   ;12;12;100,0%
BR;BR2142;BONECA TODDLER PRINCESAS 38CM - AURORA   ;12;12;100,0%
AC;AC437;TELA DE PROJEÇÃO RETRÁTIL 2,03X152M 100 POLEGADAS 4:3   ;12;0;0,0%
BR;BR2472;1:22 RC HOT WHEELS ENERGY X - 4 CANAIS - VERMELHO - COM LUZ   ;12;9;75,0%
EP;GO082;PANELA DE PRESSAO ELETRICA 4L INOX 220V   ;12;0;0,0%
BR;BR2373;;12;12;100,0%
BR;BR2226;;12;12;100,0%
BR;BR2228;;12;12;100,0%
EP;GO228;AIR FRYER FORNO 12L 220V   ;12;0;0,0%
AC;RZ8302550100;;12;12;100,0%
NB;NB303;;12;0;0,0%
AC;EI160;Plastico Adesivo Azul 0.08mm PVC 45cm x 10m Keep - EI160   ;12;0;0,0%
HC;HC273;TERMOMETRO TERMO CHECK SMART   ;12;0;0,0%
TE;P9168;;12;10;83,3%
EP;GO041;CAFETEIRA 30 XICARAS JARRA INOX 127V   ;12;12;100,0%
DC;DJI1076;Bateria de voo inteligente DJI Neo 2 BR   ;12;12;100,0%
EP;FE047;;12;12;100,0%
AC;CT111S;CART. TONER COMPATIVEL P/ SAMSUNG MOD. MLT-D111S   ;12;0;0,0%
AC;RF013;;12;0;0,0%
EP;BE012;BEBEDOURO ELETRONICO 220V   ;12;0;0,0%
BR;BR1920;BONECA PRINCESAS DISNEY ARTICULADA - TIANA - 38CM   ;12;0;0,0%
BR;BR1928;BONECA PRINCESAS DISNEY RAPUNZEL C/ VARINHA E TIARA   ;12;0;0,0%
BB;BB1149;PROTETOR SOLAR RETRATIL PARA CARRO SUNSHADE   ;12;0;0,0%
BR;BR1329;MY STYLE BEAUTY - PALETA CHARMOSA   ;12;0;0,0%
BR;BR2012;JOGO BASQUETE PINBALL   ;11;0;0,0%
BR;BR1331;MY STYLE BEAUTY - ESTOJO FABULOSA   ;11;8;72,7%
BR;BR386;CREATIVE FUN CAIXA REGISTRADORA AZUL   ;11;0;0,0%
SO;PH440;EARPHONE BLUETOOTH TWS PULSE WF400 BRANCO   ;11;0;0,0%
AC;RZ0304470200R3U;Teclado Razer Ornata V3 X Preto - Membrana - Layout US   ;11;9;81,8%
RE;RE167;;11;11;100,0%
AC;WI298;SMARTOGO CABO MICRO USB 1METRO UNITARIO SORTIDO   ;11;0;0,0%
BR;BR1821;;11;11;100,0%
AC;SP091;CAIXAS DE SOM 2.0 8W RMS ALIMENTAÇÃO USB CONEXÃO P2 CONTROLE VOLUME PRETO   ;11;0;0,0%
AC;EI124;;11;0;0,0%
NB;NB365;TABLET M8 (4G/32GB) - PRETO   ;10;1;10,0%
BR;BR1476;JOGO BASQUETE DE DEDO   ;10;0;0,0%
AC;SP044;CAIXAS DE SOM 2.0 1W RMS ALIMENTAÇÃO USB CONEXÃO P2 CONTROLE DE VOLUME SEM MARCA SOM ESTÉREO PRETO   ;10;0;0,0%
AC;EN087;NOBREAK MULTI 1440VA 220V/220V - M1 1440VA   ;10;0;0,0%
BR;BR2477;1:24 RC HOT WHEELS - SMALL STUNT - 4 CANAIS - AZUL   ;10;1;10,0%
SO;SP512;PULSE FLAMEBOX DJ SP512 5000W RMS   ;10;4;40,0%
AC;MO222;;10;125;1250,0%
EP;ED017;;10;0;0,0%
SO;SP402;;10;8;80,0%
AC;EN004;;10;0;0,0%
AC;RZ0403970100;;10;1;10,0%
AC;WI208;;10;10;100,0%
AC;EN084;NOBREAK MULTI 1000VA 220V/220V - M1 1000VA   ;10;0;0,0%
SO;WR202;SMARTWATCH MULTI L2 PRETO   ;10;10;100,0%
EP;CE148;;10;0;0,0%
VD;TL061M;TV 55 POL DLED 4K ANDROID MULTILASER   ;10;1;10,0%
NB;NB355;;10;6;60,0%
AC;RZ0104000100;Mouse Razer Basilisk V3 Preto - com fio   ;10;0;0,0%
NB;NB432;;10;0;0,0%
NB;NB331;;10;0;0,0%
DC;DJI049;Drone DJI Avata 2 Fly More Combo (3 baterias) (DJI Goggles 3 & Motion 3) BR   ;10;1;10,0%
PR;PR103213;;10;0;0,0%
PR;PR103222;;10;0;0,0%
PR;PR103247;;10;0;0,0%
PR;PR103224;;10;0;0,0%
AC;RF019;;10;0;0,0%
AC;RA029;Rapoo VPro Teclado Gamer Retroiluminado 5 Anos de Garantia V52 Pro   ;10;0;0,0%
AC;PH101;;10;0;0,0%
NB;NB384;;10;0;0,0%
BR;BR1777;JOGO EQUILIBRA PIRATA   ;9;0;0,0%
BR;BR753;JOGO TUBARAO BOCAO   ;9;0;0,0%
BR;BR2400;PROJETOR DE DESENHOS - AVENGERS   ;9;9;100,0%
BR;BR1619;CUBIC 25 EM 1- POLÍCIA 569 PEÇAS   ;9;6;66,7%
EP;GO047;CAFETEIRA 2 XICARAS VERMELHA 127V   ;9;0;0,0%
AC;GA217;;9;0;0,0%
DC;DJI042;Drone DJI Mini 4 Pro Standard (Com tela) BR   ;9;0;0,0%
AC;MO387;;9;0;0,0%
AC;RF014;Refil De Tinta Para Impressoras Epson T664 250ML Ciano - RF014   ;9;0;0,0%
AC;TC208;;9;9;100,0%
AC;KP001;Mini Impressora Térmica Sem Fio Keep - KP001   ;9;6;66,7%
AC;EN088;NOBREAK MULTI 1440VA BIVOLT/127V - M1 1440VA   ;9;0;0,0%
RE;ZT866;;9;9;100,0%
AC;RZ0304690200;Teclado Razer BlackWidow V4 Preto - Switch Verde - Layout US   ;9;0;0,0%
PC;DT029;;9;0;0,0%
PC;UB430;;9;0;0,0%
PC;UB532;;9;0;0,0%
BR;BR426;JOGO CAMALEAO LINGUAO   ;8;0;0,0%
BR;BR1677;Jogo Match Color   ;8;0;0,0%
BR;BR2281;CUBIC MENINAS RV FESTA 412 PCS   ;8;6;75,0%
EP;GO063;TORRADEIRA 127V   ;8;0;0,0%
BR;BR2283;CUBIC CARRO ESPORTIVO 264 PEÇAS   ;8;1;12,5%
BB;BB485;;8;0;0,0%
AC;EN086;NOBREAK MULTI 1440 VA 127V/127V - M1 1440VA   ;8;0;0,0%
AC;EN090;NOBREAK MULTI 1700VA 220V/220V - M1 1700VA   ;8;0;0,0%
AC;EN091;NOBREAK MULTI 1700VA BIVOLT/127V M1 1700VA   ;8;0;0,0%
AC;AC268;;8;0;0,0%
EP;GO065;TORRADEIRA RED 127V 400W   ;8;0;0,0%
AC;RZ0201940100;;8;8;100,0%
AC;EI025;;8;0;0,0%
HC;HC080;;8;0;0,0%
DC;DJI1001;Bateria de voo inteligente DJI (DJI Mini 2/SE/2 SE/4K) BR   ;8;3;37,5%
AC;RZ0303930200;Teclado Razer Huntsman V2 Preto - Switch Red - Layout US   ;8;0;0,0%
DC;DJI1070;Bateria de voo inteligente DJI Mini 5 Pro BR   ;8;2;25,0%
AC;TC154;TECLADO COM FIO TM400 USB SLIM COMPACTO 150CM PT   ;8;0;0,0%
EP;MV047;;8;8;100,0%
AC;RZ0105230100;;8;0;0,0%
DC;DJI213;Câmera de Ação DJI Osmo Action 5 Pro Adventure Combo BR   ;8;0;0,0%
DC;DJI109;Estabilizador DJI Osmo Mobile SE BR   ;8;0;0,0%
TE;P9131;;8;8;100,0%
AC;GS0514;;8;0;0,0%
AC;TC309;COMBO COM FIO CF50 US 3BOT 1200DPI COMPACTO 120CM PT   ;7;0;0,0%
AC;EN089;NOBREAK MULTI 1700VA 127V/127V - M1 1700VA   ;7;0;0,0%
BR;BR2513;Blocos Magneticos Mineblocks 80 Blocos - Window Box   ;7;0;0,0%
EP;GO133;;7;0;0,0%
DC;DJI063;Drone DJI Mavic 4 Pro Fly More Combo (Com tela) BR   ;7;0;0,0%
DC;DJI210;Câmera DJI Osmo Pocket 3 Creator Combo BR   ;7;0;0,0%
DC;DJI209;Câmera DJI Osmo Pocket 3 Standard BR   ;7;0;0,0%
BR;BR1111;CREATIVE FUN MINI FEIRINHA FRUTAS   ;7;4;57,1%
BR;BR2535;PROJETOR DE DESENHOS - STITCH   ;7;1;14,3%
BR;BR2476;RC HOT WHEELS - STUNT - 4 CANAIS - AZUL - LUZ E SOM   ;7;1;14,3%
BR;BR1874;WALKING PETZ - BULDOGUE   ;7;2;28,6%
EP;GO085;PANELA DE PRESSAO ELETRICA 5L INOX DIGITAL 127V   ;7;2;28,6%
DC;DJI074;Drone DJI Avata 2 Fly Smart Combo (3 baterias) (DJI Goggles N3 & Motion 3) BR   ;7;0;0,0%
EP;GO136;ACENDEDOR DE CARVAO ELETRICO 220V   ;7;0;0,0%
AC;CB162;;7;7;100,0%
BR;BR1793;PLAY & LEARN - MALETA EDUCATIVA C/ LETRAS E NÚMEROS   ;7;7;100,0%
